term,weight
politics,5.584918297209902
news,4.5575952336853485
left news,3.432054139968219
government news,3.2050821313020514
read,2.5603930520866895
featured image,2.4229110788792343
featured,2.3142372975921406
image,2.3003592877231474
video,2.174865785818755
gop,1.9619455566050856
president trump,1.9114921127338114
obama,1.9096409261540286
just,1.7550920517891373
breaking,1.75066744458601
getty,1.667940902730752
video politics,1.6651803130507694
left,1.6438050083319704
mr,1.5803526915934527
america,1.5583743310040554
getty images,1.4990977951498548
